tSNE1,tSNE2
20.862562,-131.09482
-1.384193,-141.36296
6.661997,-82.27978
-60.102238,45.40124
-63.296497,-3.1606667
66.72658,-32.362907
-128.94453,47.82116
38.69844,-145.77042
-68.29606,16.072388
70.95955,-53.817345
0.29554886,-5.325922
20.625134,-29.497389
-65.28652,28.193623
-71.65107,51.7212
51.95616,21.14487
-137.13622,64.059006
-135.97495,60.720196
-14.068171,8.366213
115.40037,-13.832403
-54.233723,-76.48787
10.665445,29.998425
-38.556652,-78.32894
-59.362103,45.586575
118.52919,-24.759567
-78.235565,-72.3314
-123.8959,17.891727
-12.4361725,15.363046
100.332214,-58.500786
5.9324827,-123.858025
21.039131,40.59917
-68.70114,-79.341415
1.2307808,18.141617
116.46275,-92.13033
-26.599884,-108.73427
-146.08173,15.153418
-0.81350887,-147.9984
51.20864,22.47445
0.29554886,-5.325922
51.11442,-36.77065
-46.22583,-18.722635
-7.8141007,-131.7594
80.52207,-13.229111
0.14588644,-28.257223
-135.97495,60.720196
20.998108,-2.3730297
36.583584,-9.162309
-39.025776,-16.284603
36.41389,-73.47915
-56.920567,29.61244
-55.862553,-62.60548
27.550503,25.702127
-92.430626,-47.69846
-88.84963,-22.855162
-8.203077,-65.79742
99.8707,-59.070503
-61.40644,27.516317
55.98533,-40.795692
-73.95971,44.834496
-14.588666,16.338991
51.956455,21.144838
-26.684484,-131.17148
-114.20449,-16.760857
-7.3640766,21.55561
63.516975,-19.974127
8.042657,-125.985214
55.57894,26.519663
-39.437153,-67.530464
-39.650913,-77.91465
28.237885,20.125969
-78.74675,-27.52454
19.44993,-61.07823
2.4605093,23.349955
122.64813,-60.770878
8.145569,-125.8739
53.592373,-42.91452
12.728495,3.482843
-66.68632,-75.214355
105.3279,-86.84733
-80.76331,-35.80337
-87.20621,-42.72373
1.7111665,21.103758
35.048782,-120.7328
-58.909176,19.060627
111.8663,4.733662
-26.48635,16.084185
11.784305,2.6808434
-131.14813,-2.5495853
-130.66156,50.42583
-4.141695,-100.93293
12.652039,29.329874
-3.0318525,-22.443205
9.110235,27.182283
10.874779,-72.88725
-58.191284,38.383244
51.24062,11.819618
-64.69637,-45.043198
-95.9757,-2.6228375
11.0709,-73.33947
21.134045,27.885128
0.555482,-6.2209835
37.063503,-2.2471526
-1.8663244,-119.121254
-2.4437792,-75.87534
43.544,-1.4885972
-133.29901,10.400597
-53.761955,-135.82997
22.61343,-1.3131661
26.99343,38.489338
8.041677,-125.988365
110.132706,-73.22406
